ID,Easting,Northing
1153,833549,811560
1154,833465,811223
1155,833702,811146
1158,818529,835682
1162,835303,817932
1164,835408,818509
1165,841671,819191
1166,818534,835706
1167,838657,822674
1171,831216,824364
1172,831223,824479
1173,831392,824659
1174,831495,824903
1175,831462,825434
1176,831350,825331
1177,831178,825299
1178,830926,825242
1179,830870,825380
1180,830635,825423
1181,830449,825384
1182,830217,825524
1183,830126,825577
1185,829958,825692
1186,830453,825403
1187,830867,825411
1188,830936,825324
1189,831125,825331
1191,831480,825457
1192,831513,824929
1193,831444,824683
1194,831050,824302
1195,834038,816434
1196,820025,824775
1197,818619,825217
1198,819327,825184
1199,819006,825248
1201,818209,825279
1203,817652,825449
1204,817407,825818
1205,817157,826051
1206,816707,826166
1207,816328,826530
1208,816057,826641
1209,815900,826894
1210,815615,827065
1211,815178,826862
1212,814598,826399
1213,814538,826168
1214,814021,826278
1215,814120,826569
1216,814294,826980
1217,814562,827341
1219,814316,826971
1220,814103,826515
1221,814142,826140
1222,814397,826051
1223,814512,826169
1224,814575,826408
1225,815227,826915
1226,815619,827093
1227,815881,826953
1228,816070,826661
1229,816352,826543
1230,816671,826243
1231,817111,826080
1232,817393,825888
1233,817578,825595
1234,817991,825449
1235,818403,825242
1237,818730,825260
1238,819430,825097
1239,820042,824706
1241,814956,825962
1242,814626,825944
1243,834479,816051
1244,816083,827581
1245,816105,827346
1248,818320,834537
1249,818286,834798
1250,818328,835020
1251,817964,835264
1252,818090,835616
1253,818259,835459
1254,818056,835573
1255,817770,835629
1256,818638,835338
1260,818019,835202
1261,818381,835011
1262,818286,834767
1263,818383,834472
1268,836314,815640
1269,839630,809033
1270,839264,809278
1271,839342,809107
1272,839360,808863
1275,839000,809031
1277,835455,817634
1278,835502,817398
1279,836017,817361
1280,836124,817648
1281,836165,817883
1282,836216,818047
1283,836387,818197
1284,836430,818096
1286,835996,817310
1289,835364,817954
1295,839012,809026
1298,839342,808910
1300,839329,809290
1305,838742,817067
1306,838885,817098
1307,841359,815565
1310,836233,818016
1317,835248,819975
1320,835564,818493
1321,835825,818552
1322,836190,818639
1323,837423,820491
1325,842125,818632
1326,842124,818671
1331,835555,818474
1333,812060,816667
1334,837776,815992
1336,810142,817365
1339,835651,820054
1340,834384,819991
1343,834995,819954
1345,811177,817947
1347,810697,817022
1348,810662,817017
1349,835225,822329
1350,835581,822269
1353,837099,822404
1354,837386,822400
1355,837808,822528
1356,838191,822529
1357,838935,822277
1358,839386,821962
1359,841659,818842
1360,841632,818699
1361,841500,818489
1362,842289,818585
1363,842269,818685
1364,842123,818937
1366,842512,818952
1367,842246,818983
1368,842209,818835
1369,841405,818777
1370,838190,822500
1371,838884,822246
1372,837759,822498
1373,837496,822382
1374,837262,822392
1376,835624,822243
1377,835303,822303
1379,837687,818433
1380,837536,818597
1381,837625,818775
1382,837643,819165
1383,837502,819249
1384,837350,819524
1385,838177,821573
1387,838365,822236
1388,838665,822210
1389,839083,821879
1390,838677,822177
1394,837382,819025
1395,837338,818732
1400,837466,815659
1403,839400,822301
1404,839465,822603
1406,838721,823266
1407,838592,823506
1408,838446,823518
1411,838955,823287
1412,839089,823210
1413,839488,822578
1414,839418,822300
1415,839069,822336
1416,845716,819550
1417,845742,819837
1418,844171,820442
1419,845723,819521
1422,837191,822601
1424,834612,815971
