ROUTE_ID,COMPANY_CODE,DISTRICT,ROUTE_NAMEC,ROUTE_NAMES,ROUTE_NAMEE,ROUTE_TYPE,SERVICE_MODE,SPECIAL_TYPE,JOURNEY_TIME,LOC_START_NAMEC,LOC_START_NAMES,LOC_START_NAMEE,LOC_END_NAMEC,LOC_END_NAMES,LOC_END_NAMEE,HYPERLINK_C,HYPERLINK_S,HYPERLINK_E,FULL_FARE,LAST_UPDATE_DATE
1000295,"CTB",,"10","10","10",1,"T",1,5.9000000000000000e+01,"堅尼地城","坚尼地城","Kennedy Town","北角碼頭(不經遮打道)","北角码头(不经遮打道)","North Point Ferry Pier (omit Chater Road)","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=10&dsmode=1&l=0","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=10&dsmode=1&l=2","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=10&dsmode=1&l=1",4.8000,"07/02/24 00:00:00"
1000296,"CTB",,"10","10","10",1,"R",0,5.4000000000000000e+01,"北角碼頭","北角码头","North Point Ferry Pier","堅尼地城","坚尼地城","Kennedy Town","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=10&dsmode=1&l=0","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=10&dsmode=1&l=2","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=10&dsmode=1&l=1",4.8000,"07/02/24 00:00:00"
1000300,"CTB",,"955","955","955",1,"T",1,8.9000000000000000e+01,"屯門 (菁田及和田)","屯门 (菁田及和田)","Tuen Mun (Ching Tin and Wo Tin)","西灣河","西湾河","Sai Wan Ho","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=955&dsmode=1&l=0","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=955&dsmode=1&l=2","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=955&dsmode=1&l=1",27.3000,"01/02/25 00:00:00"
1000304,"CTB",,"38","38","38",1,"R",0,3.5000000000000000e+01,"置富花園","置富花园","Chi Fu Fa Yuen","北角碼頭(經華富)","北角码头(经华富)","North Point Ferry (via Wah Fu)","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=38&dsmode=1&l=0","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=38&dsmode=1&l=2","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=38&dsmode=1&l=1",9.4000,"08/02/23 00:00:00"
1000305,"CTB",,"38","38","38",1,"T",1,2.2000000000000000e+01,"銅鑼灣(中央圖書館)","铜锣湾(中央图书馆)","Causeway Bay (Central Library)","置富","置富","Chi Fu","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=38&dsmode=1&l=0","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=38&dsmode=1&l=2","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=38&dsmode=1&l=1",7.4000,"06/18/23 00:00:00"
1000312,"CTB",,"790","790","790",1,"T",1,4.0000000000000000e+01,"清水灣半島","清水湾半岛","Oscar by the Sea","尖沙咀(麼地道)","尖沙咀(麽地道)","Tsim Sha Tsui (Mody Road)","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=790&dsmode=1&l=0","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=790&dsmode=1&l=2","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=790&dsmode=1&l=1",11.7000,"01/02/25 00:00:00"
1000313,"CTB",,"795","795","795",1,"T",1,6.8000000000000000e+01,"將軍澳工業邨","将军澳工业邨","Tseung Kwan O Industrial Estate","長沙灣(海達)","长沙湾(海达)","Cheung Sha Wan (Hoi Tat)","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=795&dsmode=1&l=0","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=795&dsmode=1&l=2","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=795&dsmode=1&l=1",14.6000,"01/02/25 00:00:00"
1000314,"KMB",,"96","96","96",1,"T",1,7.9000000000000000e+01,"康盛花園","康盛花园","HONG SING GARDEN","大埔工業邨","大埔工业邨","TAI PO INDUSTRIAL ESTATE","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=96&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=96&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=96&lang=en",10.3000,"01/05/24 00:00:00"
1000315,"KMB",,"290E","290E","290E",1,"T",1,7.9000000000000000e+01,"將軍澳工業邨","将军澳工业邨","TSEUNG KWAN O INDUSTRIAL ESTATE","荃灣西站","荃湾西站","TSUEN WAN WEST STATION","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=290E&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=290E&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=290E&lang=en",12.1000,"12/16/24 00:00:00"
1000316,"KMB",,"298X","298X","298X",1,"T",1,6.2000000000000000e+01,"坑口(北)(將軍澳醫院)","坑口(北)(将军澳医院)","HANG HAU (NORTH) (TSEUNG KWAN O HOSPITAL)","美孚","美孚","MEI FOO","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=298X&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=298X&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=298X&lang=en",13.1000,"11/01/24 00:00:00"
