ID,Easting,Northing,Latitude(DDD.DDDD),Longitude(DDD.DDDD)
127,833903,816342,22.285967152,114.153925196
128,834512,815761,22.280721080,114.159835358
129,834606,815696,22.280134182,114.160747535
130,834958,815533,22.278662490,114.164163214
131,835515,815439,22.277813941,114.169567915
132,835952,815436,22.277786984,114.173808169
133,836202,815464,22.278039869,114.176233942
134,836298,815477,22.278157268,114.177165441
135,836643,815593,22.279204780,114.180513045
136,837048,815708,22.280243167,114.184442894
137,837583,815779,22.280884016,114.189634199
139,837920,816521,22.287584455,114.192904980
140,838144,816797,22.290076678,114.195078948
141,838430,816875,22.290780731,114.197854381
142,838780,816951,22.291466583,114.201250897
143,838903,816977,22.291701196,114.202444536
144,839307,817023,22.292115938,114.206365061
146,839665,816681,22.289026795,114.209838398
147,839820,816304,22.285621935,114.211341661
148,840107,816212,22.284790501,114.214126384
149,840309,816209,22.284762947,114.216086499
151,840885,815970,22.282603178,114.221675069
152,841084,815772,22.280814568,114.223605455
155,842217,813970,22.264537812,114.234592612
156,842460,814004,22.264843998,114.236950372
157,843166,814251,22.267071889,114.243801184
159,843708,813805,22.263041967,114.249057790
161,843014,814319,22.267686574,114.242326713
163,833926,816392,22.286418715,114.154148307
166,842849,815253,22.276121831,114.240729649
167,842716,815421,22.277639481,114.239439829
169,841886,815765,22.280748925,114.231387477
170,841894,815555,22.278852466,114.231464367
171,841899,815422,22.277651375,114.231512416
172,841862,815251,22.276107256,114.231152805
173,840926,815874,22.281736127,114.222072630
174,840890,816049,22.283316585,114.221723814
175,841067,816147,22.284201103,114.223441622
176,841074,816036,22.283198683,114.223509214
178,838672,816950,22.291457707,114.200202859
179,838824,817153,22.293290704,114.201678197
180,840458,816272,22.285331521,114.217532496
181,840970,815943,22.282359121,114.222499781
182,841852,815238,22.275989890,114.231055730
183,841886,815478,22.278157133,114.231386472
185,841886,815796,22.281028875,114.231387586
187,842109,815991,22.282789106,114.233552135
188,842901,815158,22.275263721,114.241233811
190,842760,814619,22.270396743,114.239863519
193,835646,819170,22.311507243,114.170837585
194,835605,819401,22.313593297,114.170439567
197,835121,820596,22.324384605,114.165741220
199,834678,821204,22.329874850,114.161440721
203,834518,821334,22.331048670,114.159887509
204,834324,821654,22.333938248,114.158004007
205,834301,821806,22.335310869,114.157780560
206,834566,821817,22.335410488,114.160352921
207,834659,821424,22.331861560,114.161256074
208,834829,821264,22.330416817,114.162906378
209,835033,821091,22.328854684,114.164886684
210,835182,820969,22.327753053,114.166333054
211,835378,820715,22.325459396,114.168235677
212,835419,820487,22.323400443,114.168633759
214,835626,819406,22.313638458,114.170643382
216,835700,818992,22.309899814,114.171361740
219,836652,818079,22.301654916,114.180600976
220,837237,816134,22.284090121,114.186277069
221,837734,816322,22.285787528,114.191099896
222,837996,816726,22.289435659,114.193642688
223,838129,816883,22.290853328,114.194933489
228,838246,816809,22.290184931,114.196068765
230,836492,815437,22.277796027,114.179047840
231,836189,815327,22.276802670,114.176107807
232,835728,815508,22.278437135,114.171634652
233,835144,815556,22.278870325,114.165967985
234,836064,815391,22.277380621,114.174894921
235,836292,815366,22.277154867,114.177107220
